#coordinates: (min_x, min_y, max_x, max_y)
Map size: (-100, -200, 400, 100) 


building_dict Total Count : 51
-------------------------
building(4) : (147.9999898038495, -35.000005098071355, 158.0000101961505, -14.999994901928645)
building(5) : (55.19997960770263, 48.83998266655012, 89.20002039229738, 88.84001733344988)
building(6) : (100.20997960770002, 48.83998776462667, 124.21002039229997, 88.84001223537334)
building(7) : (137.64997960770629, 48.83997552924295, 185.65002039229373, 88.84002447075706)
building(8) : (303.0, 40.0, 343.0, 80.0)
building(9) : (260.0, 40.0, 300.0, 80.0)
building(10) : (347.0, 40.0, 387.0, 80.0)
building(11) : (100.0, -50.0, 120.0, -30.0)
building_residential(1) : (54.39999724704053, 13.299996329386286, 61.60000275295947, 18.700003670613714)
building_residential(2) : (63.39999724704053, 13.299996329386286, 70.60000275295947, 18.700003670613714)
building_residential(3) : (72.39999724704053, 13.299996329386286, 79.60000275295947, 18.700003670613714)
building_residential(4) : (81.39999724704053, 13.299996329386286, 88.60000275295947, 18.700003670613714)
building_residential(5) : (104.47999724704053, 13.299996329386286, 111.68000275295947, 18.700003670613714)
building_residential(6) : (114.01999724704054, 13.299996329386286, 121.22000275295947, 18.700003670613714)
building_residential(7) : (137.74999724704054, 13.299996329386286, 144.95000275295945, 18.700003670613714)
building_residential(8) : (147.00999724704056, 13.299996329386286, 154.21000275295947, 18.700003670613714)
building_residential(9) : (156.48999724704055, 13.299996329386286, 163.69000275295946, 18.700003670613714)
building_residential(10) : (165.64999724704055, 13.299996329386286, 172.85000275295945, 18.700003670613714)
building_residential(11) : (175.69999724704056, 13.299996329386286, 182.90000275295947, 18.700003670613714)
building_residential(12) : (175.6999900823705, 28.249986776479844, 182.90000991762952, 33.650013223520155)
building_residential(13) : (165.3899900823705, 28.249986776479844, 172.59000991762952, 33.650013223520155)
building_residential(14) : (156.22999008237053, 28.249986776479844, 163.4300099176295, 33.650013223520155)
building_residential(15) : (146.85999008237053, 28.249986776479844, 154.0600099176295, 33.650013223520155)
building_residential(16) : (137.30999008237052, 28.249986776479844, 144.51000991762947, 33.650013223520155)
building_residential(17) : (114.04999008237051, 28.249986776479844, 121.2500099176295, 33.650013223520155)
building_residential(18) : (104.2299900823705, 28.249986776479844, 111.43000991762949, 33.650013223520155)
building_residential(19) : (81.2499900823705, 28.249986776479844, 88.45000991762949, 33.650013223520155)
building_residential(20) : (72.2499900823705, 28.249986776479844, 79.45000991762949, 33.650013223520155)
building_residential(21) : (62.559990082370504, 28.249986776479844, 69.76000991762949, 33.650013223520155)
building_residential(22) : (53.59999008237051, 28.249986776479844, 60.800009917629495, 33.650013223520155)
building_cyberbotics(1) : (277.0, -42.02, 297.0, -22.020000000000003)
building_cyberbotics(2) : (298.0, -42.02, 318.0, -22.020000000000003)
building_cyberbotics(3) : (319.0, -42.02, 339.0, -22.020000000000003)
building_cyberbotics(4) : (340.0, -42.02, 360.0, -22.020000000000003)
building_cyberbotics(5) : (361.0, -42.02, 381.0, -22.020000000000003)
building_cyberbotics(6) : (382.0, -42.02, 402.0, -22.020000000000003)
building_cyberbotics(7) : (235.0, 16.0, 255.0, 36.0)
building_cyberbotics(8) : (257.0, 16.0, 277.0, 36.0)
building_cyberbotics(9) : (279.0, 16.0, 299.0, 36.0)
building_cyberbotics(10) : (301.0, 16.0, 321.0, 36.0)
building_cyberbotics(11) : (323.0, 16.0, 343.0, 36.0)
building_cyberbotics(12) : (345.0, 16.0, 365.0, 36.0)
building_cyberbotics(13) : (367.0, 16.0, 387.0, 36.0)
building_cyberbotics(14) : (234.99997346413727, 37.99997346413727, 255.00002653586273, 58.00002653586273)
building_cyberbotics(15) : (234.99997346413727, 59.99997346413727, 255.00002653586273, 80.00002653586273)
building_commerial(1) : (158.0, -36.0, 180.0, -14.0)
building_commerial(2) : (158.0, -58.0, 180.0, -36.0)
building_construction(1) : (235.0, -61.0, 251.0, -45.0)
building_construction(2) : (235.0, -37.5, 251.0, -21.5)
building_hollow(1) : (13.5, 16.5, 34.5, 37.5)
building_hollow(2) : (13.5, 47.5, 34.5, 68.5)


car_dict Total Count : 266
-------------------------
car_bus(1) : (-24.320004960427802, -17.865001345889667, -21.679995039572198, -8.134998654110305)
car_bus(2) : (-3.8200178701339285, -137.86500484859792, -1.17998212986607, -128.13499515140208)
car_bus(3) : (-3.8200178701339285, -166.86500484859792, -1.17998212986607, -157.13499515140208)
car_bus(4) : (-24.320004960427806, -151.86500134588968, -21.6799950395722, -142.13499865411032)
car_bus(5) : (130.1349964972786, -93.32001290970972, 139.8650035027214, -90.67998709029031)
car_bus(6) : (200.1799950395722, -81.86500134588968, 202.8200049604278, -72.13499865411032)
car_bus(7) : (207.6799950395722, -31.865001345889674, 210.3200049604278, -22.134998654110298)
car_bus(8) : (200.17999503957216, 25.694998654110325, 202.82000496042784, 35.425001345889704)
car_bus(9) : (200.1799950395722, 38.74499865411032, 202.8200049604278, 48.475001345889694)
car_bus(10) : (222.67998212986606, 62.13499515140208, 225.32001787013394, 71.86500484859792)
car_bus(11) : (293.1349903028698, -0.32003574025004133, 302.8650096971302, 2.3200357402500495)
car_bus(12) : (355.6349903028698, -0.320035740250032, 365.3650096971302, 2.320035740250024)
car_bus(13) : (337.1349903155285, -16.320035693593788, 346.8650096844715, -13.67996430640622)
car_bus(14) : (204.17999503957216, -160.86500134588968, 206.82000496042784, -151.13499865411032)
car_bus(15) : (211.67998212986606, -189.86500484859792, 214.32001787013394, -180.13499515140208)
car_bus(16) : (196.17999503957216, -145.36500134588968, 198.82000496042784, -135.63499865411032)
car_bus(17) : (196.17999503957216, -155.86500134588968, 198.82000496042784, -146.13499865411032)
car_bus(18) : (196.17999503957216, -166.86500134588968, 198.82000496042784, -157.13499865411032)
car_bus(19) : (196.17999503957216, -177.86500134588968, 198.82000496042784, -168.13499865411032)
car_bus(20) : (223.67771648903278, -167.36500485682396, 226.31775222950552, -157.63499515957253)
car_bus(21) : (115.68020099092311, -26.864056354707255, 118.3202466956395, -17.13404395393812)
car_rangerover(1) : (12.504133290472883, -5.900026619937886, 17.504138598523934, -3.900013349773273)
car_rangerover(2) : (55.314133290472874, 0.6298933800621072, 60.31413859852393, 2.6299066502267276)
car_rangerover(3) : (102.14413329047291, 4.479883380062104, 107.14413859852395, 6.4798966502267294)
car_rangerover(4) : (174.56413329047288, -5.76019661993788, 179.56413859852395, -3.7601833497732757)
car_rangerover(5) : (200.58999745782174, 50.763934925070004, 202.59000255496912, 55.76393696392677)
car_rangerover(6) : (213.27412859687453, -2.4302484126979618, 218.2741432921226, -0.43021167429432294)
car_rangerover(7) : (219.37999079664655, 54.085560382956864, 221.38000915944093, 59.08556772804629)
car_rangerover(8) : (215.44999079664657, 76.47556038295684, 217.45000915944095, 81.47556772804629)
car_rangerover(9) : (215.49999079664656, -56.49413961704314, 217.50000915944094, -51.49413227195371)
car_rangerover(10) : (-19.170209202569144, 35.743432271934324, -17.170190839677847, 40.74343961706252)
car_rangerover(11) : (-23.640102542178216, 40.42353492507001, -21.640097445030865, 45.42353696392677)
car_rangerover(12) : (-7.04029920335346, 24.985160382956845, -5.040280840559054, 29.98516772804628)
car_rangerover(13) : (-7.360089203353461, -30.354839617043154, -5.360070840559052, -25.35483227195372)
car_rangerover(14) : (-3.8200092033534574, -56.49503961704314, -1.8199908405590601, -51.49503227195371)
car_rangerover(15) : (-19.820002542178212, -88.14686507492999, -17.819997445030868, -83.14686303607323)
car_rangerover(16) : (-16.350002542178213, -31.146665074929984, -14.349997445030859, -26.146663036073228)
car_rangerover(17) : (42.96412859687452, -100.54061841269798, 47.9641432921226, -98.54058167429433)
car_rangerover(18) : (82.36412859687452, -103.67001841269797, 87.36414329212262, -101.66998167429432)
car_rangerover(19) : (-7.359669203353455, -148.75513961704317, -5.359650840559066, -143.75513227195373)
car_rangerover(20) : (170.32585874742776, -111.87001323872042, 175.32586936357526, -109.86998669820369)
car_rangerover(21) : (157.13585874742776, -119.66001323872041, 162.13586936357527, -117.65998669820368)
car_rangerover(22) : (222.87999079664655, -136.13413961704316, 224.88000915944093, -131.13413227195372)
car_rangerover(23) : (211.63999079664654, -150.38413961704316, 213.64000915944092, -145.38413227195372)
car_rangerover(24) : (311.9841285968745, -3.8694284126979746, 316.98414329212255, -1.8693916742942935)
car_rangerover(25) : (248.00412859687452, -0.37988841269796314, 253.0041432921226, 1.6201483257056801)
car_rangerover(26) : (272.32999079664654, -63.22403961704318, 274.3300091594411, -58.22403227195367)
car_rangerover(27) : (203.87999745782173, -40.16596507493, 205.8800025549691, -35.16596303607324)
car_rangerover(28) : (223.03999079664658, -31.664139617043155, 225.04000915944096, -26.66413227195372)
car_rangerover(29) : (219.75999079664655, -27.154239617043153, 221.76000915944098, -22.154232271953717)
car_rangerover(30) : (204.63999745782172, 18.95403492507001, 206.6400025549691, 23.954036963926782)
car_rangerover(31) : (143.91412859687452, 3.4995215873020378, 148.9141432921226, 5.4995583257056815)
car_rangerover(32) : (47.44959745782179, 65.32363492507001, 49.44960255496914, 70.32363696392677)
car_rangerover(33) : (72.93412859687452, 42.44928158730203, 77.93414329212261, 44.4493183257057)
car_rangerover(34) : (141.95999079664657, -56.49443961704315, 143.960009159441, -51.494432271953706)
car_rangerover(35) : (127.33999079664656, -18.844539617043157, 129.340009159441, -13.844532271953707)
car_rangerover(36) : (165.85585874742776, -69.07011323872041, 170.85586936357527, -67.07008669820368)
car_rangerover(37) : (131.43999079664655, 25.095560382956847, 133.440009159441, 30.095567728046284)
car_rangerover(38) : (111.43412859687452, 42.35958158730203, 116.43414329212261, 44.359618325705696)
car_rangerover(39) : (177.73585874742773, 40.94988676127963, 182.73586936357523, 42.9499133017963)
car_bmw(1) : (-3.7267082364047646, -17.870110443205046, -1.888116428657649, -12.287226228588057)
car_bmw(2) : (-15.601988601480251, 20.587325170992916, -13.763384932666817, 26.170212871328584)
car_bmw(3) : (-23.5650028304845, 34.02656999941919, -21.83499717169573, 39.576571763327316)
car_bmw(4) : (-15.58198860148095, 50.36732517098995, -13.743384932666116, 55.95021287132604)
car_bmw(5) : (-7.596608236405089, -23.850210443203554, -5.758016428657374, -18.267326228586388)
car_bmw(6) : (-40.745505906822856, -2.2755939232105598, -35.1320278833919, -0.3296251979821102)
car_bmw(7) : (-23.571888601480985, -84.17267482901019, -21.733284932666116, -78.58978712867409)
car_bmw(8) : (-19.1753028304845, -37.63343000058081, -17.44529717169573, -32.08342823667268)
car_bmw(9) : (41.591826737345905, -93.2003033595708, 47.2053088362778, -91.25431986256751)
car_bmw(10) : (69.81182673735289, -93.94040335956883, 75.42530883628372, -91.99441986256944)
car_bmw(11) : (4.936258585994777, -100.81500736849482, 10.486263176751736, -99.08499264086531)
car_bmw(12) : (-7.386970458612176, -137.74020412386116, -5.548409519790733, -132.1573289810835)
car_bmw(13) : (-10.755372831519429, -166.256571763331, -9.025367172707098, -160.70656999941554)
car_bmw(14) : (166.01342452789666, -119.44601471875141, 171.56343370935687, -117.71598526355159)
car_bmw(15) : (152.16342399766356, -107.99601641885296, 157.71343423958993, -106.26598356152415)
car_bmw(16) : (18.53312452789666, -116.1550147187514, 24.083133709356858, -114.42498526355155)
car_bmw(17) : (219.42339176359545, -143.05021044320503, 221.26198357134209, -137.46732622858818)
car_bmw(18) : (204.35801139852, -140.1626748290066, 206.19661506733289, -134.5797871286711)
car_bmw(19) : (215.82339176359542, -176.80021044320503, 217.66198357134206, -171.21732622858818)
car_bmw(20) : (283.9544940931766, -16.696573923210416, 289.56797211660745, -14.750605197982308)
