# min_x, min_y, max_x, max_y
Map size: (-100, -200, 400, 100) 



building_dict Total Count : 51
-------------------------
building(4) : (147.9999898038495, -35.000005098071355, 158.0000101961505, -14.999994901928645)
building(5) : (55.19997960770263, 48.83998266655012, 89.20002039229738, 88.84001733344988)
building(6) : (100.20997960770002, 48.83998776462667, 124.21002039229997, 88.84001223537334)
building(7) : (137.64997960770629, 48.83997552924295, 185.65002039229373, 88.84002447075706)
building(8) : (303.0, 40.0, 343.0, 80.0)
building(9) : (260.0, 40.0, 300.0, 80.0)
building(10) : (347.0, 40.0, 387.0, 80.0)
building(11) : (100.0, -50.0, 120.0, -30.0)
building_residential(1) : (54.39999724704053, 13.299996329386286, 61.60000275295947, 18.700003670613714)
building_residential(2) : (63.39999724704053, 13.299996329386286, 70.60000275295947, 18.700003670613714)
building_residential(3) : (72.39999724704053, 13.299996329386286, 79.60000275295947, 18.700003670613714)
building_residential(4) : (81.39999724704053, 13.299996329386286, 88.60000275295947, 18.700003670613714)
building_residential(5) : (104.47999724704053, 13.299996329386286, 111.68000275295947, 18.700003670613714)
building_residential(6) : (114.01999724704054, 13.299996329386286, 121.22000275295947, 18.700003670613714)
building_residential(7) : (137.74999724704054, 13.299996329386286, 144.95000275295945, 18.700003670613714)
building_residential(8) : (147.00999724704056, 13.299996329386286, 154.21000275295947, 18.700003670613714)
building_residential(9) : (156.48999724704055, 13.299996329386286, 163.69000275295946, 18.700003670613714)
building_residential(10) : (165.64999724704055, 13.299996329386286, 172.85000275295945, 18.700003670613714)
building_residential(11) : (175.69999724704056, 13.299996329386286, 182.90000275295947, 18.700003670613714)
building_residential(12) : (175.6999900823705, 28.249986776479844, 182.90000991762952, 33.650013223520155)
building_residential(13) : (165.3899900823705, 28.249986776479844, 172.59000991762952, 33.650013223520155)
building_residential(14) : (156.22999008237053, 28.249986776479844, 163.4300099176295, 33.650013223520155)
building_residential(15) : (146.85999008237053, 28.249986776479844, 154.0600099176295, 33.650013223520155)
building_residential(16) : (137.30999008237052, 28.249986776479844, 144.51000991762947, 33.650013223520155)
building_residential(17) : (114.04999008237051, 28.249986776479844, 121.2500099176295, 33.650013223520155)
building_residential(18) : (104.2299900823705, 28.249986776479844, 111.43000991762949, 33.650013223520155)
building_residential(19) : (81.2499900823705, 28.249986776479844, 88.45000991762949, 33.650013223520155)
building_residential(20) : (72.2499900823705, 28.249986776479844, 79.45000991762949, 33.650013223520155)
building_residential(21) : (62.559990082370504, 28.249986776479844, 69.76000991762949, 33.650013223520155)
building_residential(22) : (53.59999008237051, 28.249986776479844, 60.800009917629495, 33.650013223520155)
building_cyberbotics(1) : (277.0, -42.02, 297.0, -22.020000000000003)
building_cyberbotics(2) : (298.0, -42.02, 318.0, -22.020000000000003)
building_cyberbotics(3) : (319.0, -42.02, 339.0, -22.020000000000003)
building_cyberbotics(4) : (340.0, -42.02, 360.0, -22.020000000000003)
building_cyberbotics(5) : (361.0, -42.02, 381.0, -22.020000000000003)
building_cyberbotics(6) : (382.0, -42.02, 402.0, -22.020000000000003)
building_cyberbotics(7) : (235.0, 16.0, 255.0, 36.0)
building_cyberbotics(8) : (257.0, 16.0, 277.0, 36.0)
building_cyberbotics(9) : (279.0, 16.0, 299.0, 36.0)
building_cyberbotics(10) : (301.0, 16.0, 321.0, 36.0)
building_cyberbotics(11) : (323.0, 16.0, 343.0, 36.0)
building_cyberbotics(12) : (345.0, 16.0, 365.0, 36.0)
building_cyberbotics(13) : (367.0, 16.0, 387.0, 36.0)
building_cyberbotics(14) : (234.99997346413727, 37.99997346413727, 255.00002653586273, 58.00002653586273)
building_cyberbotics(15) : (234.99997346413727, 59.99997346413727, 255.00002653586273, 80.00002653586273)
building_commerial(1) : (158.0, -36.0, 180.0, -14.0)
building_commerial(2) : (158.0, -58.0, 180.0, -36.0)
building_construction(1) : (235.0, -61.0, 251.0, -45.0)
building_construction(2) : (235.0, -37.5, 251.0, -21.5)
building_hollow(1) : (13.5, 16.5, 34.5, 37.5)
building_hollow(2) : (13.5, 47.5, 34.5, 68.5)


car_dict Total Count : 62
-------------------------
car_bus(1) : (-24.320004960427806, -17.86500134588968, -21.6799950395722, -8.134998654110316)
car_bus(2) : (-24.320004960427806, -151.86500134588968, -21.6799950395722, -142.13499865411032)
car_bus(3) : (130.1349964972786, -93.32001290970969, 139.8650035027214, -90.67998709029031)
car_bus(4) : (222.67998212986606, 62.13499515140208, 225.32001787013394, 71.86500484859792)
car_bus(5) : (293.1349903028698, -0.32003574025003756, 302.8650096971302, 2.3200357402500402)
car_bus(6) : (355.6349903028698, -0.3200357402500389, 365.3650096971302, 2.320035740250039)
car_bus(7) : (211.6799821298661, -189.86500484859792, 214.3200178701339, -180.13499515140208)
car_bus(8) : (196.1799950395722, -145.36500134588968, 198.8200049604278, -135.63499865411032)
car_bus(9) : (223.6799821298661, -167.36500484859792, 226.3200178701339, -157.63499515140208)
car_bus(10) : (115.68000720724054, -26.86479684370875, 118.32003793045918, -17.13478850775191)
car_rangerover(1) : (12.508859922714858, -5.90002663092343, 17.508865229910626, -3.9000133628970444)
car_rangerover(2) : (55.318859922714864, 0.6298933690765685, 60.31886522991063, 2.629906637102955)
car_rangerover(3) : (213.27885522992378, -2.4302483743986705, 218.27886992270177, -0.4302116421702782)
car_rangerover(4) : (-19.170209187196086, 35.74815890314827, -17.17019082130291, 40.748166249477215)
car_rangerover(5) : (157.13113211650946, -119.66001326205334, 162.13114273086498, -117.65998672601664)
car_rangerover(6) : (222.87999081294407, -136.13886624947835, 224.88000917884295, -131.1388589031471)
car_rangerover(7) : (47.44959745206514, 65.32836155670458, 49.449602550111315, 70.32836359592088)
car_rangerover(8) : (165.85113211650946, -69.07011326205334, 170.85114273086498, -67.07008672601664)
car_bmw(1) : (42.12544700070647, -93.16500736556655, 47.675451591314996, -91.43499263841325)
car_bmw(2) : (166.01434611335432, -119.4460147235819, 171.56435529462428, -117.7159852689924)
car_bmw(3) : (18.5340461133543, -116.1550147235819, 24.084055294624243, -114.4249852689924)
car_bmw(4) : (283.48434611335426, -16.515914723581886, 289.0343552946242, -14.785885268992397)
car_bmw(5) : (250.3756470007065, -3.935607365566542, 255.92565159131502, -2.205592638413241)
car_bmw(6) : (204.3649971700251, -76.76485158600111, 206.0950028291847, -71.21484982197741)
car_bmw(7) : (208.1149971700251, 63.07524841399887, 209.8450028291847, 68.62525017802258)
car_bmw(8) : (167.4756470007065, 6.774632634433457, 173.025651591315, 8.504647361586759)
car_bmw(9) : (145.45434611335432, -69.22531472358189, 151.00435529462428, -67.49528526899239)
car_CitroenCZero(1) : (-23.690027040341747, 22.120250565119317, -22.090023476700573, 25.820252106151944)
car_CitroenCZero(2) : (-45.670255796156525, 3.9300144285246374, -41.97024687544979, 5.530035057767092)
car_CitroenCZero(3) : (-19.910127040341745, -54.139749434880684, -18.31012347670057, -50.43974789384805)
car_CitroenCZero(4) : (-23.630127040341748, -88.52974943488069, -22.030123476700574, -84.82974789384805)
car_CitroenCZero(5) : (140.0002492429219, -99.91997958202892, 143.70025342853486, -98.31996990277518)
car_CitroenCZero(6) : (170.93974444854456, -115.290035005693, 174.63975287986455, -113.69001550816898)
car_CitroenCZero(7) : (314.8097444485446, -8.640835005693024, 318.50975287986455, -7.0408155081689925)
car_CitroenCZero(8) : (211.5000232672553, -39.9808521965526, 213.10002724876205, -36.28085047482168)
car_CitroenCZero(9) : (212.5100232672553, -86.73085219655259, 214.11002724876204, -83.03085047482169)
car_CitroenCZero(10) : (201.3599678427713, 18.989748352029714, 202.9599816425453, 22.689754319478617)
car_CitroenCZero(11) : (166.3202492429219, 3.1896204179710925, 170.02025342853486, 4.789630097224812)
car_CitroenCZero(12) : (116.47974444854458, -69.090335005693, 120.17975287986457, -67.49031550816899)
car_CitroenCZero(13) : (125.13024924292195, 39.9697204179711, 128.8302534285349, 41.56973009722481)
car_lincolnMKZ(1) : (-7.4600026512627435, -71.52951585509786, -5.4599973492802425, -66.32951381587611)
car_lincolnMKZ(2) : (-11.130302651262742, -138.09951585509782, -9.130297349280244, -132.8995138158761)
car_lincolnMKZ(3) : (212.08999734873726, -137.17951585509783, 214.09000265071978, -131.97951381587612)
car_lincolnMKZ(4) : (223.14999734873726, -24.75011585509785, 225.15000265071978, -19.550113815876113)
car_lincolnMKZ(5) : (373.89047985736977, -68.29141380046228, 379.09049047165627, -66.29138620315506)
car_bsnzs(1) : (-11.380009551599457, 37.390435352392394, -9.379990451035145, 42.59044269873339)
car_bsnzs(2) : (-8.160322650287677, -171.0995619940631, -6.160317348226386, -165.89955995481108)
car_bsnzs(3) : (68.33013371839988, -115.98001380133024, 73.53014433272585, -113.97998620392042)
car_bsnzs(4) : (200.30999734919007, -177.96044004516264, 202.31000265111462, -172.7604380059632)
car_bsnzs(5) : (348.11955832083936, -4.410946897914325, 353.319563628035, -2.410933099165025)
car_bsnzs(6) : (223.4099973497123, -60.27016199406314, 225.41000265177362, -55.070159954811096)
car_bsnzs(7) : (95.79009734971233, 16.71023800593687, 97.79010265177361, 21.91024004518891)
car_bsnzs(8) : (128.26998355340962, 60.94013269881363, 130.27001645273631, 66.14014535231215)
car_toyota(1) : (-15.27008179953598, -87.56970584478908, -13.270076020948121, -82.36970362225803)
car_toyota(2) : (3.130042628120465, -104.23002795038671, 8.330047904677487, -102.23001423129837)
car_toyota(3) : (172.47029262812046, -92.70042795038671, 177.67029790467748, -90.70041423129837)
car_toyota(4) : (109.57969944181457, -111.71999266724497, 114.77971002549944, -109.71996514950298)
car_toyota(5) : (219.50997649693826, -157.37129619439466, 221.5099813223416, -152.17129433847222)
car_toyota(6) : (219.04997649693829, -19.900896194394655, 221.0499813223416, -14.700894338472217)
car_toyota(7) : (200.450018200464, -46.89020584478908, 202.45002397905188, -41.690203622258025)
car_toyota(8) : (136.72029262812046, 3.269622049613302, 141.92029790467748, 5.269635768701649)
car_toyota(9) : (131.70996269673114, -46.73060150140991, 133.70999511941474, -41.530589031233106)


tree_dict Total Count : 234
-------------------------
tree(1) : (11.85, -12.15, 12.15, -11.85)
tree(2) : (11.85, -17.15, 12.15, -16.85)
tree(3) : (11.85, -22.15, 12.15, -21.85)
tree(4) : (11.85, -27.15, 12.15, -26.85)
tree(5) : (11.85, -40.15, 12.15, -39.85)
tree(6) : (11.85, -45.15, 12.15, -44.85)
tree(7) : (11.85, -50.15, 12.15, -49.85)
tree(8) : (11.85, -55.15, 12.15, -54.85)
tree(9) : (11.85, -60.15, 12.15, -59.85)
tree(10) : (16.85, -62.65, 17.15, -62.35)
tree(11) : (21.85, -62.65, 22.15, -62.35)
tree(12) : (26.85, -62.65, 27.15, -62.35)
tree(13) : (31.85, -62.65, 32.15, -62.35)
tree(14) : (36.85, -62.65, 37.15, -62.35)
tree(15) : (41.85, -62.65, 42.15, -62.35)
tree(16) : (46.85, -62.65, 47.15, -62.35)
tree(17) : (51.85, -62.65, 52.15, -62.35)
tree(18) : (56.85, -62.65, 57.15, -62.35)
tree(19) : (61.85, -62.65, 62.15, -62.35)
tree(20) : (66.85, -62.65, 67.15, -62.35)
tree(21) : (71.85, -62.65, 72.15, -62.35)
tree(22) : (76.85, -62.65, 77.15, -62.35)
tree(23) : (81.85, -62.65, 82.15, -62.35)
tree(24) : (86.85, -62.65, 87.15, -62.35)
tree(25) : (91.85, -62.65, 92.15, -62.35)
tree(26) : (96.85, -62.65, 97.15, -62.35)
tree(27) : (101.85, -62.65, 102.15, -62.35)
tree(28) : (106.85, -62.65, 107.15, -62.35)
