# min_x, min_y, max_x, max_y
Map size: (-100, -200, 400, 100) 



building_dict Total Count : 17
-------------------------
building(4) : (147.9999898038495, -35.000005098071355, 158.0000101961505, -14.999994901928645)
building(11) : (100.0, -50.0, 120.0, -30.0)
building_residential(1) : (54.39999724704053, 13.299996329386286, 61.60000275295947, 18.700003670613714)
building_residential(2) : (63.39999724704053, 13.299996329386286, 70.60000275295947, 18.700003670613714)
building_residential(3) : (72.39999724704053, 13.299996329386286, 79.60000275295947, 18.700003670613714)
building_residential(4) : (81.39999724704053, 13.299996329386286, 88.60000275295947, 18.700003670613714)
building_residential(5) : (104.47999724704053, 13.299996329386286, 111.68000275295947, 18.700003670613714)
building_residential(6) : (114.01999724704054, 13.299996329386286, 121.22000275295947, 18.700003670613714)
building_residential(7) : (137.74999724704054, 13.299996329386286, 144.95000275295945, 18.700003670613714)
building_residential(8) : (147.00999724704056, 13.299996329386286, 154.21000275295947, 18.700003670613714)
building_residential(9) : (156.48999724704055, 13.299996329386286, 163.69000275295946, 18.700003670613714)
building_residential(10) : (165.64999724704055, 13.299996329386286, 172.85000275295945, 18.700003670613714)
building_residential(11) : (175.69999724704056, 13.299996329386286, 182.90000275295947, 18.700003670613714)
building_commerial(1) : (158.0, -36.0, 180.0, -14.0)
building_commerial(2) : (158.0, -58.0, 180.0, -36.0)
building_hollow(1) : (13.5, 16.5, 34.5, 37.5)
building_hollow(2) : (13.5, 47.5, 34.5, 68.5)


car_dict Total Count : 14
-------------------------
car_bus(1) : (-24.32000495873407, -17.86600799379247, -21.679995038387677, -8.136005302151265)
car_bus(10) : (115.6798725312827, -26.85579942806702, 118.3217676075627, -17.125285415957425)
car_rangerover(1) : (12.500920249841727, -5.900026642441844, 17.500925556645328, -3.9000133753958792)
car_rangerover(2) : (55.31092024984174, 0.6298933575581513, 60.310925556645344, 2.629906624604116)
car_rangerover(4) : (-19.170209167167847, 35.74021923145451, -17.1701908081519, 40.74022657503257)
car_bmw(8) : (167.47646166721444, 6.774632631541333, 173.02646625803794, 8.504647359384316)
car_CitroenCZero(1) : (-23.690057844408397, 22.11127221343404, -22.08998094577205, 25.811305466248726)
car_CitroenCZero(2) : (-45.661300169495746, 3.9300044021539353, -41.96127751044929, 5.530056801896459)
car_CitroenCZero(3) : (-19.910157844408392, -54.14872778656596, -18.310080945772047, -50.448694533751286)
car_CitroenCZero(11) : (166.3112751353912, 3.1895877044682006, 170.01130254443694, 4.789651088907234)
car_bsnzs(1) : (-11.180006795488575, 38.1400115501248, -9.579993204704172, 41.840017427200465)
car_bsnzs(7) : (95.99009811365217, 17.459813672957697, 97.59010188629104, 21.159815304367537)
car_toyota(8) : (137.467892472447, 3.4694223877653783, 141.16800892512973, 5.0696917030221025)
car_toyota(9) : (131.90976572433954, -45.97831180638241, 133.51004836759705, -42.27818959104816)


tree_dict Total Count : 83
-------------------------
tree(1) : (11.85, -12.15, 12.15, -11.85)
tree(2) : (11.85, -17.15, 12.15, -16.85)
tree(3) : (11.85, -22.15, 12.15, -21.85)
tree(4) : (11.85, -27.15, 12.15, -26.85)
tree(5) : (11.85, -40.15, 12.15, -39.85)
tree(6) : (11.85, -45.15, 12.15, -44.85)
tree(7) : (11.85, -50.15, 12.15, -49.85)
tree(8) : (11.85, -55.15, 12.15, -54.85)
tree(9) : (11.85, -60.15, 12.15, -59.85)
tree(32) : (138.85, -62.65, 139.15, -62.35)
tree(33) : (146.85, -62.65, 147.15, -62.35)
tree(40) : (14.85, -9.15, 15.15, -8.85)
tree(41) : (19.85, -9.15, 20.15, -8.85)
tree(42) : (24.85, -9.15, 25.15, -8.85)
tree(43) : (29.85, -9.15, 30.15, -8.85)
tree(44) : (34.85, -9.15, 35.15, -8.85)
tree(45) : (39.85, -9.15, 40.15, -8.85)
tree(46) : (44.85, -9.15, 45.15, -8.85)
tree(47) : (49.85, -9.15, 50.15, -8.85)
tree(48) : (54.85, -9.15, 55.15, -8.85)
tree(49) : (59.85, -9.15, 60.15, -8.85)
tree(50) : (64.85, -9.15, 65.15, -8.85)
tree(51) : (69.85, -9.15, 70.15, -8.85)
tree(52) : (74.85, -9.15, 75.15, -8.85)
tree(53) : (79.85, -9.15, 80.15, -8.85)
tree(54) : (84.85, -9.15, 85.15, -8.85)
tree(55) : (89.85, -9.15, 90.15, -8.85)
tree(56) : (94.85, -9.15, 95.15, -8.85)
tree(57) : (104.85, -7.15, 105.15, -6.85)
tree(58) : (109.85, -7.15, 110.15, -6.85)
tree(59) : (114.85, -7.15, 115.15, -6.85)
tree(60) : (119.85, -7.15, 120.15, -6.85)
tree(61) : (126.35, -12.15, 126.65, -11.85)
tree(62) : (126.35, -17.15, 126.65, -16.85)
tree(63) : (126.35, -22.15, 126.65, -21.85)
tree(64) : (126.35, -27.15, 126.65, -26.85)
tree(65) : (126.35, -32.15, 126.65, -31.85)
tree(66) : (126.35, -37.15, 126.65, -36.85)
tree(67) : (126.35, -42.15, 126.65, -41.85)
tree(68) : (126.35, -47.15, 126.65, -46.85)
tree(69) : (126.35, -52.15, 126.65, -51.85)
tree(70) : (126.35, -57.15, 126.65, -56.85)
tree(71) : (134.35, -52.15, 134.65, -51.85)
tree(72) : (134.35, -47.15, 134.65, -46.85)
tree(73) : (134.35, -42.15, 134.65, -41.85)
tree(74) : (134.35, -37.15, 134.65, -36.85)
tree(75) : (134.35, -27.15, 134.65, -26.85)
tree(76) : (134.35, -22.15, 134.65, -21.85)
tree(77) : (134.35, -17.15, 134.65, -16.85)
tree(78) : (134.35, -12.15, 134.65, -11.85)
tree(79) : (146.85, -18.15, 147.15, -17.85)
tree(80) : (146.85, -16.15, 147.15, -15.85)
tree(81) : (146.85, -14.15, 147.15, -13.85)
tree(82) : (148.85, -14.15, 149.15, -13.85)
tree(83) : (150.85, -14.15, 151.15, -13.85)
tree(84) : (152.85, -14.15, 153.15, -13.85)
tree(85) : (154.85, -14.15, 155.15, -13.85)
tree(86) : (178.85, -13.15, 179.15, -12.85)
tree(87) : (176.85, -13.15, 177.15, -12.85)
tree(88) : (193.85, -12.15, 194.15, -11.85)
tree(89) : (193.85, -15.15, 194.15, -14.85)
tree(90) : (193.85, -18.15, 194.15, -17.85)
tree(91) : (193.85, -21.15, 194.15, -20.85)
tree(92) : (193.85, -24.15, 194.15, -23.85)
tree(93) : (193.85, -27.15, 194.15, -26.85)
tree(104) : (186.7, -12.3, 187.3, -11.7)
tree(105) : (186.7, 19.7, 187.3, 20.3)
tree(106) : (186.7, 27.7, 187.3, 28.3)
tree(107) : (186.7, 35.7, 187.3, 36.3)
tree(112) : (186.7, -20.3, 187.3, -19.7)
tree(115) : (193.85, 21.85, 194.15, 22.15)
tree(116) : (193.85, 24.85, 194.15, 25.15)
tree(117) : (193.85, 27.85, 194.15, 28.15)
tree(118) : (193.85, 30.85, 194.15, 31.15)
tree(119) : (193.85, 33.85, 194.15, 34.15)
tree(120) : (193.85, 36.85, 194.15, 37.15)
tree(155) : (0.7, -10.3, 1.3, -9.7)
tree(156) : (0.7, -17.3, 1.3, -16.7)
tree(157) : (0.7, -24.3, 1.3, -23.7)
tree(158) : (0.7, -31.3, 1.3, -30.7)
tree(159) : (0.7, -38.3, 1.3, -37.7)
tree(160) : (0.7, -45.3, 1.3, -44.7)
tree(161) : (0.7, -59.3, 1.3, -58.7)


human_dict Total Count : 23
-------------------------
human_ROBERT(1) : (119.43999999999781, -8.981940001848825, 120.0399999999978, -8.381940001848823)
human_ROBERT(3) : (53.54760902210087, 8.505463351529375, 54.147609022100866, 9.105463351529377)
human_ROBERT(4) : (108.16218404696178, 8.175701920624304, 108.76218404696178, 8.775701920624305)
human_ROBERT(6) : (187.80502273961847, 8.6990231170752, 188.4050227396185, 9.299023117075201)
human_ROBERT(8) : (196.6360640117691, 48.74446584974297, 197.23606401176912, 49.34446584974297)
human_ROBERT(9) : (3.4593437978296477, -63.65769379432318, 4.059343797829648, -63.057693794323185)
human_ROBERT(10) : (123.33100987999356, -26.420519772550637, 123.93100987999355, -25.820519772550636)
human_SANDRA(1) : (39.919900000000005, 8.250319999999999, 40.5199, 8.85032)
human_SANDRA(2) : (91.33727319538418, 18.80030005316318, 91.93727319538418, 19.400300053163182)
human_SANDRA(5) : (122.21355619376952, 7.646812566637492, 122.81355619376951, 8.246812566637493)
human_SANDRA(7) : (191.9099999473881, 11.240811409497356, 192.5099999473881, 11.840811409497357)
human_SANDRA(9) : (50.40074528406739, -7.391746546954714, 51.000745284067385, -6.791746546954714)
human_SANDRA(10) : (123.45069091040978, -72.60276367767636, 124.05069091040977, -72.00276367767637)
human_SOPHIA(1) : (41.136500000000005, 7.45155, 41.7365, 8.05155)
human_SOPHIA(3) : (73.04700001006488, 7.221655862574589, 73.64700001006487, 7.8216558625745884)
human_SOPHIA(7) : (155.44996209732176, 8.122408837533476, 156.04996209732178, 8.722408837533477)
human_SOPHIA(9) : (125.04839422569275, -9.28869707717879, 125.64839422569274, -8.688697077178789)
human_SOPHIA(10) : (98.41649994727273, -9.568363916332189, 99.01649994727272, -8.968363916332187)
human_ANTHONY(2) : (73.13071776569497, 8.049809998094764, 73.53071776569497, 8.449809998094763)
human_ANTHONY(3) : (100.30000000061173, 7.430479961053648, 100.70000000061174, 7.830479961053649)
human_ANTHONY(4) : (136.0999999962516, 9.148573712604131, 136.49999999625157, 9.54857371260413)
human_ANTHONY(9) : (4.194879340649738, -60.16088452060105, 4.594879340649738, -59.760884520601046)
human_ANTHONY(10) : (62.68921945139452, -60.83009999819392, 63.08921945139453, -60.43009999819392)


sidewalk_dict Total Count : 0
-------------------------
